2026-06-24 15:03:25 [main] INFO  Utils - [TestNG] Running:
  C:\Users\V00450\AppData\Local\JetBrains\IdeaIC2025.2\temp-testng-customsuite.xml

2026-06-24 15:03:26 [main] INFO  Hooks - ========== UI Test Started: Verify BTA functionality for Amex Internal Admin User ==========
2026-06-24 15:03:26 [main] INFO  ExtentReportManager - ExtentReport initialized at: logs/reports/ExtentReport_24-06-2026_15-03-26.html
2026-06-24 15:03:26 [main] INFO  ExtentReportManager - Test created in ExtentReport: Verify BTA functionality for Amex Internal Admin User
2026-06-24 15:03:26 [main] INFO  ExtentReportManager - Test Started
2026-06-24 15:03:29 [main] INFO  WebDriverManager - Using chromedriver 149.0.7827.155 (resolved driver for Chrome 149)
2026-06-24 15:03:29 [main] INFO  WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\V00450\.cache\selenium\chromedriver\win64\149.0.7827.155\chromedriver.exe
2026-06-24 15:03:32 [main] INFO  WebDriverManagerUtil - Browser initialized: chrome
2026-06-24 15:03:32 [main] INFO  Hooks - Browser initialized
2026-06-24 15:03:33 [main] INFO  ExtentReportManager - ✓ Browser initialized successfully
2026-06-24 15:03:35 [main] INFO  WebDriverManagerUtil - Navigated to: http://localhost:4203
2026-06-24 15:03:35 [main] INFO  BTALoginSteps - Navigated to BTA Portal
2026-06-24 15:03:36 [main] INFO  BTALoginSteps - Entered username and password
2026-06-24 15:03:36 [main] INFO  BTALoginSteps - Clicked login button
2026-06-24 15:03:36 [main] INFO  BTALoginSteps - Home page landed successfully
2026-06-24 15:03:38 [main] INFO  UiHelper - ✓ All 4 elements are successfully displayed
2026-06-24 15:03:38 [main] INFO  ExtentReportManager - ✓ ✓ All 4 elements are successfully displayed
2026-06-24 15:03:38 [main] INFO  BtaUserManagementSteps - Clicked on Corporate User Management 
2026-06-24 15:03:45 [main] INFO  BtaUserManagementSteps - Waited for few seconds to observe the result
2026-06-24 15:03:45 [main] INFO  BtaUserManagementSteps - Clicked on TMC User Management 
2026-06-24 15:03:51 [main] INFO  BtaAuditTrail - Clicked the Audit Trail Section
